"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
TQHKA9D7,book,1988,"Abbott, A.",The system of professions: An essay on the division of expert labor,,,,,,,1988,2022-10-31 13:48:14,2022-10-31 13:48:14,,,,,,,,,,,,,University of Chicago Press,Chicago,english,,,,,,,Citation Key: abbott1988a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[1]
I493CEXD,journalArticle,2016,"Angwin, J.; Larson, J.; Mattu, S.; Kirchner, L.",Machine Bias,ProPublica,,,,https://www.propublica.org/article/machinebias-risk-assessments-in-criminal-sentencing).,,2016,2022-10-31 13:48:14,2022-10-31 13:49:11,,,,,,,,,,,,,,,portuguese,,,,,,,Citation Key: angwin2016a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[2]
MFIVS7VA,journalArticle,2018,"Anthony, C.",To question or accept? How status differences influence responses to new epistemic technologies in knowledge work,Academy of Management Review,,,10.5465/amr.2016.0334,,,2018,2022-10-31 13:48:14,2022-10-31 13:50:54,,661–679,,4,43,,,,,,,,,,english,,,,,,,23 citations (Semantic Scholar/DOI) [2022-10-31] 18 citations (Crossref) [2022-10-31] Citation Key: anthony2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,[3]
Q3ZNI4RR,journalArticle,2019,"Ardila, D.; Kiraly, A.P.; Bharadwaj, S.; Choi, B.; Reicher, J.J.; Peng, L.; Tse, D.; Etemadi, M.; Ye, W.; Corrado, G.; Naidich, D.P.; Shetty, S.",End-to-end lung cancer screening with three-dimensional deep learning on low-dose chest computed tomography,Nature Medicine,,,10.1038/s41591-019-0447-x,,,2019,2022-10-31 13:48:14,2022-10-31 13:53:53,,954–961,,6,25,,,,,,,,,,english,,,,,,,795 citations (Semantic Scholar/DOI) [2022-10-31] 676 citations (Crossref) [2022-10-31] Citation Key: ardila2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,676,[4]
QF5EGMA5,journalArticle,2015,"Autor, D.H.",Why are there still so many jobs? The history and future of workplace automation,The Journal of Economic Perspectives,,,10.1257/jep.29.3.3,,,2015,2022-10-31 13:48:14,2022-10-31 13:50:33,,3–30,,3,29,,,,,,,,,,english,,,,,,,1111 citations (Semantic Scholar/DOI) [2022-10-31] 1050 citations (Crossref) [2022-10-31] Citation Key: autor2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,1050,[5]
P2YILIZL,journalArticle,2020,"Barredo Arrieta, A.; Díaz-Rodríguez, N.; Del Ser, J.; Bennetot, A.; Tabik, S.; Barbado, A.; Garcia, S.; Gil-Lopez, S.; Molina, D.; Benjamins, R.; Chatila, R.; Herrera, F.","Explainable artificial intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",Information Fusion,,,10.1016/j.inffus.2019.12.012,,,2020,2022-10-31 13:48:14,2022-10-31 13:53:41,,82–115,,,58,,,,,,,,,,english,,,,,,,2104 citations (Semantic Scholar/DOI) [2022-10-31] 1595 citations (Crossref) [2022-10-31] Citation Key: barredo2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104,1595,[6]
3AJZMZB3,journalArticle,2021,"Bauer, K.; Hinz, O.; Aalst, W.; Weinhardt, C.",Expl(AI)n It to Me—Explainable AI and Information Systems Research,Business & Information Systems Engineering,,,10.1007/s12599-021-00683-2,,,2021,2022-10-31 13:48:14,2022-10-31 13:53:44,,79–82,,2,63,,,,,,,,,,estonian,,,,,,,10 citations (Semantic Scholar/DOI) [2022-10-31] 6 citations (Crossref) [2022-10-31] Citation Key: bauer2021a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,[7]
DWNSCALV,journalArticle,2003,"Bechky, B.; Bechky, B.A.",Object lessons: Workplace artifacts as representations of occupational jurisdiction,American Journal of Sociology,,,10.1086/379527,,,2003,2022-10-31 13:48:14,2022-10-31 13:51:58,,720–752,,3,109,,,,,,,,,,english,,,,,,,475 citations (Semantic Scholar/DOI) [2022-10-31] 341 citations (Crossref) [2022-10-31] Citation Key: bechky2003a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,341,[8]
MLEQ5AKF,journalArticle,2019,"Bechmann, A.; Bowker, G.C.",Unsupervised by any other name: Hidden layers of knowledge production in artificial intelligence on social media,Big Data & Society,,,10.1177/2053951718819569,,,2019,2022-10-31 13:48:14,2022-10-31 13:50:42,,,,1,6,,,,,,,,,,english,,,,,,,43 citations (Semantic Scholar/DOI) [2022-10-31] 34 citations (Crossref) [2022-10-31] Citation Key: bechmann2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,34,[9]
MXCPJTT5,book,1966,"Berger, P.; Luckmann, T.",The social construction of reality: A treatise in the sociology of knowledge,,,,,,,1966,2022-10-31 13:48:14,2022-10-31 13:48:14,,,,,,,,,,,,,Anchor Books,New York,english,,,,,,,Citation Key: berger1966a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[10]
Y3SYD4YV,journalArticle,2008,"Berner, E.S.; Graber, M.L.",Overconfidence as a Cause of Diagnostic Error in Medicine,The American Journal of Medicine,,,10.1016/j.amjmed.2008.01.001,,,2008,2022-10-31 13:48:15,2022-10-31 13:51:42,,2– 23,,5,121,,,,,,,,,,italian,,,,,,,781 citations (Semantic Scholar/DOI) [2022-10-31] 548 citations (Crossref) [2022-10-31] Citation Key: berner2008a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,548,[11]
M3N5L5X4,book,2000,"Bowker, G.C.; Star, S.L.",Sorting things out: Classification and its consequences,,,,,,,2000,2022-10-31 13:48:15,2022-10-31 13:48:15,,,,,,,,,,,,,MIT Press,"Cambridge, MA",english,,,,,,,Citation Key: bowker2000a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[12]
XQNQK2CD,journalArticle,1991,"Brown, J.S.; Duguid, P.","Organizational learning and communities-of-practice: Toward a unified view of working, learning, and innovation",Organization Science,,,10.1287/orsc.2.1.40,,,1991,2022-10-31 13:48:15,2022-10-31 13:51:53,,40–57,,1,2,,,,,,,,,,english,,,,,,,8209 citations (Semantic Scholar/DOI) [2022-10-31] 4355 citations (Crossref) [2022-10-31] Citation Key: brown1991a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8209,4355,[13]
PKL3F9HG,journalArticle,2001,"Brown, J.S.; Duguid, P.",Knowledge and organization: A social-practice perspective,Organization Science,,,10.1287/orsc.12.2.198.10116,,,2001,2022-10-31 13:48:15,2022-10-31 13:52:31,,198–213,,2,12,,,,,,,,,,english,,,,,,,3475 citations (Semantic Scholar/DOI) [2022-10-31] 1839 citations (Crossref) [2022-10-31] Citation Key: brown2001a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475,1839,[14]
JL4M7T2A,journalArticle,2015,"Bruno, M.A.; Walker, E.A.; Abujudeh, H.H.",Understanding and confronting our mistakes: The epidemiology of error in radiology and strategies for error reduction,"Radiographics : a review publication of the Radiological Society of North America, Inc",,,10.1148/rg.2015150023,,,2015,2022-10-31 13:48:15,2022-10-31 13:50:46,,1668–1676,,6,35,,RadioGraphics,,,,,,,,english,,,,,,,307 citations (Semantic Scholar/DOI) [2022-10-31] 257 citations (Crossref) [2022-10-31] Citation Key: bruno2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,257,[15]
4XWZ7CPH,bookSection,1980,"Chandrasekaran, B.; Mittal, S.; Smith, J.",RADEX– towards a computer-based radiology consultant,Pattern recognition in practice,,,,,,1980,2022-10-31 13:48:15,2022-10-31 13:48:15,,463–474,,,,,,,,,,,North Holland,Amsterdam,english,,,,,,,Citation Key: chandrasekaran1980a,,,,,,"Gelsema, E.S.; Kanal, L.N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[16]
E8YYH6ZD,book,2014,"Charmaz, K.",Constructing grounded theory,,,,,,,2014,2022-10-31 13:48:15,2022-10-31 13:48:15,,,,,,,,,,,,,SAGE Publications,"Thousand Oaks, CA",english,,,,,,,Citation Key: charmaz2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[17]
NYYKMAMF,journalArticle,2014,"Christin, A.","When it comes to chasing clicks, journalists say one thing but feel pressure to do another",Nieman Lab,,,,,,2014,2022-10-31 13:48:15,2022-10-31 13:49:08,,,,,,,,,,,,,,,english,,,,,,,Citation Key: christin2014a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[18]
JID7QFGE,journalArticle,2020,"Christin, A.",The ethnographer and the algorithm: Beyond the black box,Theory and Society,,,10.1007/s11186-020-09411-3,,,2020,2022-10-31 13:48:15,2022-10-31 13:51:11,,897–918,,5,49,,,,,,,,,,english,,,,,,,48 citations (Semantic Scholar/DOI) [2022-10-31] 44 citations (Crossref) [2022-10-31] Citation Key: christin2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,44,[19]
ZFDF8CEV,journalArticle,2019,"Conant, E.F.; Toledano, A.Y.; Periaswamy, S.; Fotin, S.V.; Go, J.; Boatsman, J.E.; Hoffmeister, J.W.",Improving accuracy and efficiency with concurrent use of artificial intelligence for digital breast tomosynthesis,Radiology Artificial Intelligence,,,10.1148/ryai.2019180096).,,,2019,2022-10-31 13:48:15,2022-10-31 13:48:20,,,,4,1,,,,,,,,,,english,,,,,,,Citation Key: conant2019a,,,,,⚠️ Invalid DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[20]
Z7EHCR7K,journalArticle,2015,"Croft, C.; Currie, G.; Lockett, A.",Broken ‘Two-Way windows’? An exploration of professional hybrids,Public Administration,,,10.1111/padm.12115,,,2015,2022-10-31 13:48:15,2022-10-31 13:54:17,,380–394,,2,93,,,,,,,,,,english,,,,,,,77 citations (Semantic Scholar/DOI) [2022-10-31] 58 citations (Crossref) [2022-10-31] Citation Key: croft2015a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,58,[21]
QP3HYBIC,journalArticle,2014,"Sanctis, V.; Maio, S.; Soliman, A.T.; Raiola, G.; Elalaily, R.; Millimaggi, G.",Hand X-Ray in Pediatric Endocrinology: Skeletal Age Assessment and Beyond,Indian Journal of Endocrinology and Metabolism,,,10.4103/2230-8210.145076,,,2014,2022-10-31 13:48:15,2022-10-31 13:53:16,,63– 71,,,18:Suppl 1,,,,,,,,,,portuguese,,,,,,,75 citations (Semantic Scholar/DOI) [2022-10-31] 46 citations (Crossref) [2022-10-31] Citation Key: sanctis2014a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,46,[22]
T8TWVE7S,conferencePaper,2009,"Deng, J.; Dong, W.; Socher, R.; Li, L.-J.; Li, K.; F, Li F.",ImageNet: A large-scale hierarchical image database,Proceedings of the 2009 IEEE conference on computer vision and pattern recognition,,,10.1109/cvpr.2009.5206848,,,2009,2022-10-31 13:48:15,2022-10-31 13:53:07,,248–255,,,,,,,,,,,IEEE Computer Society Press,"Los Alamitos, CA",english,,,,,,,9997 citations (Semantic Scholar/DOI) [2022-10-31] 18108 citations (Crossref) [2022-10-31] Citation Key: deng2009a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9997,18108,[23]
N8AZPLQJ,journalArticle,2016,"Dhar, V.","When to trust robots with decisions, and when not to",Harvard Business Review,,,,,,2016,2022-10-31 13:48:15,2022-10-31 13:49:09,,,,,,,,,,,,,,,english,,,,,,,Citation Key: dhar2016a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[24]
DDZC9IHH,journalArticle,2012,"Dougherty, D.; Dunne, D.D.",Digital science and knowledge boundaries in complex innovation,Organization Science,,,10.1287/orsc.1110.0700,,,2012,2022-10-31 13:48:15,2022-10-31 13:53:57,,1467–1484,,5,22,,,,,,,,,,english,,,,,,,130 citations (Semantic Scholar/DOI) [2022-10-31] 109 citations (Crossref) [2022-10-31] Citation Key: dougherty2012a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,109,[25]
ZT2KEA2D,book,2000,"Dreyfus, H.; Dreyfus, S.E.; Athanasiou, T.",Mind Over Machine,,,,,,,2000,2022-10-31 13:48:15,2022-10-31 13:48:15,,,,,,,,,,,,,Simon and Schuster,New York,german,,,,,,,Citation Key: dreyfus2000a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[26]
NELFNGN3,journalArticle,2009,"Duijm, L.E.M.; Louwman, M.W.J.; Groenewoud, J.H.; Poll-Franse, L.V.; Fracheboud, J.; Coebergh, J.W.",Inter-observer variability in mammography screening and effect of type and number of readers on screening outcome,British Journal of Cancer,,,10.1038/sj.bjc.6604954,,,2009,2022-10-31 13:48:15,2022-10-31 13:52:42,,901–907,,6,100,,,,,,,,,,english,,,,,,,68 citations (Semantic Scholar/DOI) [2022-10-31] 43 citations (Crossref) [2022-10-31] Citation Key: duijm2009a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,43,[27]
