"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
75MNSTFZ,bookSection,2006,"Alves Veiga, M.J.",Subtitling reading practices,Translation studies at the interface of disciplines,,,,,,2006,2022-11-01 05:24:46,2022-11-01 05:24:46,,161–168,,,,,,,,,,,John Benjamins,Amsterdam,,,,,,,,Citation Key: alves2006a,,,,,,"Rosa, A.Assis; Seruya, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[1]
ER9Y7BAR,document,,,Investigating expectancy norms in dubbing in iran: An exploratory study. undefined,,,,,https://www.semanticscholar.org/paper/Investigating,,,2022-11-01 05:24:46,2022-11-01 05:24:46,,,,,,,,,,,,,,,,,,,,,,Citation Key: unknown-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[2]
VFUPKEXZ,journalArticle,2018,"Ameri, S.; Khoshsaligheh, M.; Farid, A.K.",The reception of Persian dubbing: a survey on preferences and perception of quality standards in Iran,Perspectives (Gerontological Nursing Association (Canada)),,,,https://www.tandfonline.com/,,2018-05,2022-11-01 05:24:46,2022-11-01 05:25:31,,435–451,,,3,,Perspectives,,,,,,,,,,,,,,,Citation Key: ameri2018a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[3]
GDLM337N,document,2005,"Antonini, R.",The perception of subtitled humour in italy: An empirical study,,,,,,,2005,2022-11-01 05:24:46,2022-11-01 05:24:46,,,,,,,,,,,,,,,,,,,,,,Citation Key: antonini2005a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[4]
TFX2XIHV,document,2007,"Antonini, R.","SAT, BLT, spirit biscuits, and the third amendment",,,,,https://benjamins.com/catalog/btl.72.17ant,,2007,2022-11-01 05:24:46,2022-11-01 05:24:46,,,,,,,,,,,,,John Benjamins Publishing Company,,,,,,,,,Citation Key: antonini2007a Place: Publisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[5]
8XR4FFL9,document,2008,"Antonini, R.",The perception of dubbese: An italian study,,,,,,,2008,2022-11-01 05:24:46,2022-11-01 05:24:46,,,,,,,,,,,,,,,,,,,,,,Citation Key: antonini2008a,,,,,,"Chiaro, D.; C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[6]
B8MX3EUG,bookSection,,,,Between text and image: Updating research in screen translation,,,,,,,2022-11-01 05:24:46,2022-11-01 05:24:46,,135–147,,,,,,,,,,,John Benjamins,Amsterdam,,,,,,,,Citation Key: heiss-a,,,,,,"Heiss; Bucaria, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[7]
YGGVDW6T,bookSection,2005,"Antonini, R.; Chiaro, D.",The quality of dubbed television programmes in italy: The experimental design of an empirical study,Cross-cultural encounters: Linguistic perspectives,,,,,,2005,2022-11-01 05:24:46,2022-11-01 05:24:46,,33–44,,,,,,,,,,,Officina,Rome,,,,,,,,Citation Key: antonini2005b,,,,,,"Bondi, M.; Maxwell, N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[8]
GN9CM9RF,document,2009,"Antonini, R.; Chiaro, D.",Perception of dubbing by italian audiences,,,,,,,2009,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: antonini2009a,,,,,,J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[9]
ZZ789MTM,bookSection,,,,Audiovisual translation: Language transfer on screen,,,,,,,2022-11-01 05:24:47,2022-11-01 05:24:47,,97–104,,,,,,,,,,,Palgrave MacMillan,Basingstoke,,,,,,,,Citation Key: d-a,,,,,,"Díaz-Cintas; Anderman, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[10]
KK6XJ3LV,bookSection,2007,"Arduini, S.; Hodgson, R.",Similarity and difference in translation,di storia e letteratura,,,,,,2007,2022-11-01 05:24:47,2022-11-01 05:24:47,,,,,,,,,,,,,,,,,,,,,,Citation Key: arduini2007a,,,,,,Ed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[11]
B953N5WZ,journalArticle,2005,"Aschenberner, B.; Weiss, C.",Phoneme-viseme mapping for german VideoRealistic audio-visual-speech-synthesis IKP,Working Paper NF,,,,,,2005,2022-11-01 05:24:47,2022-11-01 05:25:33,,11,,,1,,,,,,,,,,,,,,,,,Citation Key: aschenberner2005a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[12]
