"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,SemanticScholarCitations,CrossRefCitations,Marker
Z9EVMKWR,journalArticle,1989,"Ackoff, R.L.",From data to wisdom,Journal of Applied Systems Analysis,,,,,,1989,2022-10-31 12:34:45,2022-10-31 12:36:21,,3–9,,1,16,,,,,,,,,,english,,,,,,,Citation Key: ackoff1989a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[1]
Z2CM5PDG,journalArticle,2001,"Alavi, M.; Leidner, D.E.",Review: Knowledge management and knowledge management systems: Conceptual foundations and research issues,MIS Quarterly,,,10.2307/3250961,,,2001,2022-10-31 12:34:45,2022-10-31 12:41:18,,107–136,,1,25,,,,,,,,,,english,,,,,,,933 citations (Semantic Scholar/DOI) [2022-10-31] 4755 citations (Crossref) [2022-10-31] Citation Key: alavi2001a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,4755,[2]
CY32DFA8,conferencePaper,2019,"Amershi, S.; Begel, A.; Bird, C.; DeLine, R.; Gall, H.; Kamar, E.; Nagappan, N.; Nushi, B.; Zimmermann, T.",Software engineering for machine learning: A case study,Proceedings of the 2019 IEEE/ACM 41st international conference on software engineering: Software engineering in practice,,,,,,2019,2022-10-31 12:34:45,2022-10-31 12:36:19,,291–300,,,,,,,,,,,,"Montréal, QC, Canada",english,,,,,,,Citation Key: amershi2019a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[3]
C7U6KJWZ,journalArticle,2018,"Ananny, M.; Crawford, K.",Seeing without knowing: Limitations of the transparency ideal and its application to algorithmic accountability,New Media and Society,,,10/gddxrg,,,2018,2022-10-31 12:34:45,2022-10-31 12:36:16,,973–989,,3,20,,,,,,,,,,english,,,,,,,417 citations (Crossref) [2022-10-31] Citation Key: ananny2018a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,417,[4]
XL22WGVZ,journalArticle,2020,"Ancona, D.; Williams, M.; Gerlach, G.",The overlooked key to leading through chaos,MIT Sloan Management Review,,,,,,2020,2022-10-31 12:34:45,2022-10-31 12:36:19,,34–39,,1,62,,,,,,,,,,english,,,,,,,Citation Key: ancona2020a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[5]
GZLXSSN5,journalArticle,2020,"Argote, L.; Lee, S.; Park, J.",Organizational Learning Processes and Outcomes: Major Findings and Future Research Directions,Management Science,,,,,,2020,2022-10-31 12:34:45,2022-10-31 12:36:19,,,,,,,,,,,,,,,french,,,,,,,Citation Key: argote2020a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[6]
SQGCPA6S,journalArticle,2011,"Argote, L.; Miron-Spektor, E.",Organizational learning: From experience to knowledge,Organization Science,,,10/d3325s,,,2011,2022-10-31 12:34:45,2022-10-31 12:36:07,,1123–1137,,5,22,,,,,,,,,,english,,,,,,,845 citations (Crossref) [2022-10-31] Citation Key: argote2011a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,845,[7]
RMKB43FB,journalArticle,2020,"Benbya, H.; Nan, N.; Tanriverdi, H.; Yoo, Y.",Complexity and information systems research in the emerging digital world,MIS Quarterly,,,,,,2020,2022-10-31 12:34:45,2022-10-31 12:36:22,,1–17,,1,44,,,,,,,,,,english,,,,,,,Citation Key: benbya2020a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[8]
FGADVVWG,conferencePaper,2019,"Berthelot, D.; Oliver, A.; Carlini, N.; Goodfellow, I.; Raffel, C.; Papernot, N.",MixMatch: A holistic approach to SemiSupervised learning,Proceedings of the 33rd conference on neural information processing systems,,,,,,2019,2022-10-31 12:34:45,2022-10-31 12:36:20,,5049–5059,,,,,,,,,,,,"Vancouver, BC, Canada",english,,,,,,,Citation Key: berthelot2019a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[9]
63HKQ4K4,journalArticle,2002,"Bhatt, G.D.; Zaveri, J.",The enabling role of decision support systems in organizational learning,Decision Support Systems,,,10/c9xd8g,,,2002,2022-10-31 12:34:45,2022-10-31 12:36:06,,297–309,,3,32,,,,,,,,,,english,,,,,,,53 citations (Crossref) [2022-10-31] Citation Key: bhatt2002a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,53,[10]
EZK92RD4,journalArticle,2017,"Bohanec, M.; Robnik-Šikonja, M.; Borštnar, M.K.",Decision-making framework with double-loop learning through interpretable black-box machine learning models,Industrial Management and Data Systems,,,10/gkbj2m,,,2017,2022-10-31 12:34:45,2022-10-31 12:36:17,,1389–1406,,7,117,,,,,,,,,,english,,,,,,,18 citations (Crossref) [2022-10-31] Citation Key: bohanec2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,18,[11]
Z92PN4LL,conferencePaper,2002,"Bonabeau, E.",Agent-based modeling: Methods and techniques for simulating human systems,Proceedings of the national academy of sciences,,,,,,2002,2022-10-31 12:34:45,2022-10-31 12:36:20,,7280–7287,,,99:Suppl. 3,,,,,,,,,,english,,,,,,,Citation Key: bonabeau2002a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[12]
MX6XX2IC,conferencePaper,2017,"Breck, E.; Cai, S.; Nielsen, E.; Salib, M.; Sculley, D.",The ML test score: A rubric for ML production readiness and technical debt reduction,Proceedings of the 2017 IEEE international conference on big data,,,10/ggbh3h,,,2017,2022-10-31 12:34:45,2022-10-31 12:36:16,,1123–1132,,,,,,,,,,,,"Boston, MA",english,,,,,,,64 citations (Crossref) [2022-10-31] Citation Key: breck2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,64,[13]
3GWYWBNY,journalArticle,2019,"Brock, J.K.U.; Wangenheim, F.",Demystifying AI: What digital transformation leaders can teach you about realistic artificial intelligence,California Management Review,,,10.1177/1536504219865226,,,2019,2022-10-31 12:34:45,2022-10-31 12:42:25,,110–134,,4,61,,,,,,,,,,english,,,,,,,94 citations (Semantic Scholar/DOI) [2022-10-31] 100 citations (Crossref) [2022-10-31] Citation Key: brock2019a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,100,[14]
5FSKFREX,journalArticle,2019,"Brunswicker, S.; Almirall, E.; Majchrzak, A.",Optimizing and satisficing: The interplay between platform architecture and producers’ design strategies for platform performance,MIS Quarterly,,,,,,2019,2022-10-31 12:34:45,2022-10-31 12:36:19,,1249–1277,,4,43,,,,,,,,,,english,,,,,,,Citation Key: brunswicker2019a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[15]
AK7MSQGI,journalArticle,2017,"Brynjolfsson, E.; Mitchell, T.",What can machine learning do? Workforce implications,"Science (New York, N.Y.)",,,10/gcsjbw,,,2017,2022-10-31 12:34:45,2022-10-31 12:36:06,,1530–1534,,6370,358,,Science,,,,,,,,english,,,,,,,279 citations (Crossref) [2022-10-31] Citation Key: brynjolfsson2017a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,279,[16]
K9C6X3NU,journalArticle,1998,"Bushee, B.J.",The influence of institutional investors on myopic R&D investment behavior,The Accounting Review,,,,,,1998,2022-10-31 12:34:45,2022-10-31 12:36:18,,305–333,,3,73,,,,,,,,,,english,,,,,,,Citation Key: bushee1998a,,,,,⛔ No DOI found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,No Citations Found,[17]
4LSTQRAW,journalArticle,2010,"Choi, S.Y.; Lee, H.; Yoo, Y.","The impact of information technology and transactive memory systems on knowledge sharing, application, and team performance: A field study",MIS Quarterly,,,10.2307/25750708,,,2010,2022-10-31 12:34:45,2022-10-31 12:41:02,,855–870,,4,34,,,,,,,,,,english,,,,,,,598 citations (Semantic Scholar/DOI) [2022-10-31] 345 citations (Crossref) [2022-10-31] Citation Key: choi2010a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,345,[18]
CBZPK6Y7,journalArticle,2021,"Choudhury, P.; Allen, R.T.; Endres, M.G.",Machine learning for pattern discovery in management research,Strategic Management Journal,,,10/ghqxr8,,,2021,2022-10-31 12:34:45,2022-10-31 12:36:16,,30–57,,1,42,,,,,,,,,,english,,,,,,,27 citations (Crossref) [2022-10-31] Citation Key: choudhury2021a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,27,[19]
LBCIFQQS,journalArticle,1937,"Coase, R.H.",The Nature of the Firm,Economica,,,10/fnm876,,,1937,2022-10-31 12:34:45,2022-10-31 12:36:16,,386–405,,16,4,,,,,,,,,,italian,,,,,,,11112 citations (Crossref) [2022-10-31] Citation Key: coase1937a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,11112,[20]
9APGCP3Y,journalArticle,1989,"Cohen, W.M.; Levinthal, D.A.",Innovation and learning: The two faces of R & D,The Economic Journal,,,10.2307/2233763,,,1989,2022-10-31 12:34:46,2022-10-31 12:41:49,,569–596,,397,99,,,,,,,,,,english,,,,,,,8067 citations (Semantic Scholar/DOI) [2022-10-31] 4163 citations (Crossref) [2022-10-31] Citation Key: cohen1989a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8067,4163,[21]
GJYUL5QN,journalArticle,2001,"Denrell, J.; March, J.G.",Adaptation as information restriction: The hot stove effect,Organization Science,,,10/cxrgrh,,,2001,2022-10-31 12:34:46,2022-10-31 12:36:17,,523–538,,5,12,,,,,,,,,,english,,,,,,,398 citations (Crossref) [2022-10-31] Citation Key: denrell2001a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,398,[22]
4JPZ98Y4,journalArticle,1994,"DeSanctis, G.; Poole, M.S.",Capturing the complexity in advanced technology use: Adaptive structuration theory,Organization Science,,,10/crw9w7,,,1994,2022-10-31 12:34:46,2022-10-31 12:36:17,,121–147,,2,5,,,,,,,,,,english,,,,,,,1782 citations (Crossref) [2022-10-31] Citation Key: desanctis1994a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,1782,[23]
SDLIXKD4,journalArticle,2016,"Diakopoulos, N.",Accountability in algorithmic decision making,Communications of the ACM,,,10/gfxvmg,,,2016,2022-10-31 12:34:46,2022-10-31 12:36:10,,56–62,,2,59,,,,,,,,,,english,,,,,,,204 citations (Crossref) [2022-10-31] Citation Key: diakopoulos2016a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,204,[24]
ENNM6QU2,journalArticle,1993,"Dodgson, M.",Organizational learning: A review of some literatures,Organization Studies,,,10/dnrkfs,,,1993,2022-10-31 12:34:46,2022-10-31 12:36:16,,375–394,,3,14,,,,,,,,,,english,,,,,,,1003 citations (Crossref) [2022-10-31] Citation Key: dodgson1993a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Citations Found,1003,[25]
