Name,IdentifierPaper,IdentifierGroup,Person,Affiliation,Publications,Citations,Hindex,RGPublications,RGCitations,RGHindex,GoogleScholar,GSCitations,GSHindex,SemanticScholar,SSPublications,SSCitations,SSHindex,IEEEXplore,IEEEPublications,IEEECitations,ACMLink,ACMPublications,ACMCitations,ACMCitationAveragePerArticle
Theodorescu,Kane,Reference,Mike H. M. Teodorescu,"Carroll School of Management, Boston College, Fulton 460, 140 Commonwealth Avenue",34,197,7,,,,,,,,,,,,,,,,,
Morse,Kane,Reference,Lily Morse,"John Chambers College of Business and Economics, West Virginia University",11,715,8,,,,,,,,,,,,,,,,,
Awwad,Kane,Reference,Yazeed Awwad,"Center for Complex Systems, King Abdulaziz City for Science & Technology, Riyadh 12354 SAUDI ARABIA, and Massachusetts Institute of Technology, 77 Massachusetts Avenue, Building E18-309",6,79,4,,,,,,,,,,,,,,,,,
Kane,Kane,Reference,Gerald C. Kane,"Carroll School of Management, Boston College, Fulton 460, 140 Commonwealth Avenue",138,9966,40,,,,,,,,,,,,,,,,,
Steinicke,IDH05,Hamburg,Frank Steinicke,"Human-Computer Interaction, Department of Informatics, Universität Hamburg",491,7853,45,,,,https://scholar.google.com/citations?hl=de&user=bmRsMpUAAAAJ,7853,45,,,,,,,,https://dl.acm.org/profile/81313483772,128,1289,10
Gerkmann,IDH08,Hamburg,Timo Gerkmann,"Professor of Signal Processing, University of Hamburg, Germany",152,3230,26,,,,https://scholar.google.com/citations?user=X0WjZyMAAAAJ&hl=de&oi=ao,3230,26,,,,,,,,,,,
Baumann,IDH09,Hamburg,Timo Baumann,"OTH Regensburg, Universität Hamburg",105,1212,21,,,,https://scholar.google.com/citations?hl=en&user=ZV_xxRUAAAAJ,1212,21,,,,,,,,,,,
Menzel,IDH15,Hamburg,Wolfgang Menzel,"Universität Hamburg, Fachbereich Informatik",139,1837,25,,,,https://scholar.google.com/citations?hl=de&user=hg1RlJsAAAAJ,1837,25,,,,,,,,,,,
Einstein,IDL01,Legends,Albert Einstein,,2605,294056,217,,,,https://scholar.google.com/citations?hl=de&user=do7frTMAAAAJ,294056,217,,,,,,,,,,,
Nash,IDL02,Legends,John Forbes Nash,,29,21535,10,,,,https://scholar.google.com/citations?hl=de&user=mYuYWJkAAAAJ,21535,10,,,,,,,,,,,
Chomsky,IDL05,Legends,Noam Chomsky,"Professor of Linguistics (Emeritus), MIT",2543,453347,184,,,,https://scholar.google.com/citations?hl=de&user=rbgNVw0AAAAJ,453347,184,,,,,,,,,,,
